image_path,class
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42725912on_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42733929ji_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42736734vn_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42738095wv_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42739164ic_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42740641bu_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42742447oe_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42743690hc_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42743695md_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42744376ox_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42744705jn_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42744971cx_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42752545bo_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42758252ls_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42761970ag_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42765429qw_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42766049fa_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42768090kd_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42768420ff_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42776625sg_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42778725lj_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/42779181hu_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/denim_denim-shirts/49531963he_1_f.jpg,denim_denim-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-polo-shirts/39939482qw_1_r.jpg,knitwear_knitted-polo-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-polo-shirts/39939604me_1_r.jpg,knitwear_knitted-polo-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-polo-shirts/46589216cg_1_r.jpg,knitwear_knitted-polo-shirts
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/12216132tw_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14008874ls_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14021458jj_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14026143uc_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14030145bk_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14031129ah_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14031131fb_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14034486hc_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14037462go_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14038586sm_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14040563qt_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14040664ws_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14041179lb_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/14046313qd_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39784865kd_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39792336bj_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39797478ae_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39797478bk_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39799647fx_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39829852fl_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39829852he_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39829852jc_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39833568bi_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39833568kn_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39833679ju_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39833679kh_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39834279cn_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39834279vo_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39834384he_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39834534mk_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39835461mv_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39838820js_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39838820ps_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39839911xm_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39839912fc_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39842403jc_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39842403wq_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39848035tu_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39850260ot_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39850260qn_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39881116pm_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39882631vm_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39897178ca_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39910461rl_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39910470ri_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39912611tq_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39913658at_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39914062ti_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39929567nn_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39929948kr_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39932876oj_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39934952xk_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39934953aq_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39939277au_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39939278cn_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39939356ar_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39939357pf_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39943009vj_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39951370hf_1_r.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39978968uo_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39988078ft_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39988142sn_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39990216um_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_knitted-tops/39994183qh_1_d.jpg,knitwear_knitted-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46614972ah_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46614975wd_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46619069sr_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46627232hc_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46636470wi_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46636990qi_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660099fn_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660100aj_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660371nv_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660377sf_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660646ho_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46660814wt_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46661751fl_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46661787ne_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46662850ev_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46690761ct_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46692130fr_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46694787gk_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46695046dn_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46695057aw_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46695068gn_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46695091eo_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/knitwear_track-tops/46695354ku_1_r.jpg,knitwear_track-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/leather_leather-tops/59142098cf_1_d.jpg,leather_leather-tops
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46566106dj_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46566110ek_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46566186mq_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46615485gu_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46615486tv_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46657879jp_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46690802or_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46691148vh_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46691152sw_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_long-sleeves-polos/46696234ko_1_r.jpg,polo-shirts_long-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46501912mb_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46501950ob_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46501957qh_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46503350mp_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556728fg_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556730uc_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556840np_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556841kv_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556842qi_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46556852bj_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46564695xc_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46566183hl_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46566338lg_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46566365bn_1_r.jpg,polo-shirts_short-sleeves-polos
/content/drive/MyDrive/Computer Vision Project/Code/Dataset/Yoox/upper_body/images/polo-shirts_short-sleeves-polos/46566367cx_1_r.jpg,polo-shirts_short-sleeves-polos
